Samples: 10000, Batch size: 30, Epochs: 2000, Noise: 10 %

Eeg Data: data/single_dipole_eeg_10000.npy
Location Data: data/single_dipole_locations_10000.npy
Mean and std Data: data/single_dipole_eeg_mean_std_10000.npy
--------------------------------------------------------------
epoch  0, train loss:  1499.537, test loss:  1496.273 
epoch  1, train loss:  1451.500, test loss:  1428.400 
epoch  2, train loss:  1348.260, test loss:  1267.591 
epoch  3, train loss:  1170.946, test loss:  1107.579 
epoch  4, train loss:  1053.547, test loss:  1018.071 
epoch  5, train loss:   981.909, test loss:   959.180 
epoch  6, train loss:   931.269, test loss:   912.534 
epoch  7, train loss:   891.409, test loss:   874.016 
epoch  8, train loss:   858.663, test loss:   845.344 
epoch  9, train loss:   830.966, test loss:   815.497 
epoch 10, train loss:   806.360, test loss:   791.886 
epoch 11, train loss:   783.663, test loss:   776.925 
epoch 12, train loss:   760.389, test loss:   744.584 
epoch 13, train loss:   731.840, test loss:   711.904 
epoch 14, train loss:   694.088, test loss:   669.176 
epoch 15, train loss:   656.879, test loss:   632.571 
epoch 16, train loss:   617.518, test loss:   591.941 
epoch 17, train loss:   574.930, test loss:   548.388 
epoch 18, train loss:   532.688, test loss:   505.842 
epoch 19, train loss:   490.613, test loss:   467.121 
epoch 20, train loss:   450.336, test loss:   427.909 
epoch 21, train loss:   412.840, test loss:   394.474 
epoch 22, train loss:   378.061, test loss:   359.844 
epoch 23, train loss:   346.607, test loss:   329.216 
epoch 24, train loss:   317.920, test loss:   301.842 
epoch 25, train loss:   292.320, test loss:   277.975 
epoch 26, train loss:   269.724, test loss:   258.044 
epoch 27, train loss:   248.960, test loss:   237.330 
epoch 28, train loss:   231.512, test loss:   221.619 
epoch 29, train loss:   215.036, test loss:   213.917 
epoch 30, train loss:   200.719, test loss:   193.447 
epoch 31, train loss:   188.306, test loss:   181.703 
epoch 32, train loss:   177.034, test loss:   170.671 
epoch 33, train loss:   166.360, test loss:   165.563 
epoch 34, train loss:   156.642, test loss:   154.916 
epoch 35, train loss:   147.843, test loss:   144.431 
epoch 36, train loss:   139.517, test loss:   138.513 
epoch 37, train loss:   131.285, test loss:   132.874 
epoch 38, train loss:   123.645, test loss:   123.490 
epoch 39, train loss:   116.229, test loss:   119.890 
epoch 40, train loss:   109.991, test loss:   106.765 
epoch 41, train loss:   103.305, test loss:   107.381 
epoch 42, train loss:    97.491, test loss:    94.495 
epoch 43, train loss:    91.693, test loss:    89.283 
epoch 44, train loss:    86.294, test loss:    84.642 
epoch 45, train loss:    81.013, test loss:    79.082 
epoch 46, train loss:    76.358, test loss:    76.596 
epoch 47, train loss:    71.838, test loss:    72.402 
epoch 48, train loss:    67.979, test loss:    67.301 
epoch 49, train loss:    64.153, test loss:    63.327 
epoch 50, train loss:    60.857, test loss:    60.052 
epoch 51, train loss:    57.578, test loss:    57.699 
epoch 52, train loss:    54.727, test loss:    54.281 
epoch 53, train loss:    51.903, test loss:    52.220 
epoch 54, train loss:    49.483, test loss:    50.718 
epoch 55, train loss:    47.140, test loss:    47.727 
epoch 56, train loss:    45.107, test loss:    45.835 
epoch 57, train loss:    42.945, test loss:    43.255 
epoch 58, train loss:    41.199, test loss:    41.075 
epoch 59, train loss:    39.365, test loss:    40.786 
epoch 60, train loss:    37.787, test loss:    38.881 
epoch 61, train loss:    36.391, test loss:    36.797 
epoch 62, train loss:    34.908, test loss:    35.919 
epoch 63, train loss:    33.549, test loss:    34.193 
epoch 64, train loss:    32.339, test loss:    33.821 
epoch 65, train loss:    31.135, test loss:    31.752 
epoch 66, train loss:    29.992, test loss:    30.344 
epoch 67, train loss:    28.967, test loss:    30.339 
epoch 68, train loss:    28.092, test loss:    28.588 
epoch 69, train loss:    26.997, test loss:    27.495 
epoch 70, train loss:    26.196, test loss:    27.371 
epoch 71, train loss:    25.363, test loss:    26.332 
epoch 72, train loss:    24.515, test loss:    25.115 
epoch 73, train loss:    23.795, test loss:    24.142 
epoch 74, train loss:    23.040, test loss:    23.574 
epoch 75, train loss:    22.388, test loss:    22.864 
epoch 76, train loss:    21.757, test loss:    22.115 
epoch 77, train loss:    21.186, test loss:    21.942 
epoch 78, train loss:    20.482, test loss:    22.081 
epoch 79, train loss:    19.948, test loss:    20.474 
epoch 80, train loss:    19.451, test loss:    20.070 
epoch 81, train loss:    18.926, test loss:    20.094 
epoch 82, train loss:    18.462, test loss:    18.918 
epoch 83, train loss:    18.038, test loss:    19.315 
epoch 84, train loss:    17.525, test loss:    17.843 
epoch 85, train loss:    16.983, test loss:    17.313 
epoch 86, train loss:    16.724, test loss:    16.867 
epoch 87, train loss:    16.207, test loss:    18.005 
epoch 88, train loss:    15.851, test loss:    16.180 
epoch 89, train loss:    15.479, test loss:    16.473 
epoch 90, train loss:    15.179, test loss:    15.788 
epoch 91, train loss:    14.846, test loss:    15.216 
epoch 92, train loss:    14.371, test loss:    14.800 
epoch 93, train loss:    14.124, test loss:    14.594 
epoch 94, train loss:    13.856, test loss:    14.858 
epoch 95, train loss:    13.587, test loss:    13.727 
epoch 96, train loss:    13.361, test loss:    13.409 
epoch 97, train loss:    13.106, test loss:    13.812 
epoch 98, train loss:    12.789, test loss:    13.009 
epoch 99, train loss:    12.500, test loss:    13.622 
epoch 100, train loss:    12.366, test loss:    12.274 
epoch 101, train loss:    12.121, test loss:    12.578 
epoch 102, train loss:    11.959, test loss:    11.929 
epoch 103, train loss:    11.728, test loss:    11.972 
epoch 104, train loss:    11.505, test loss:    11.563 
epoch 105, train loss:    11.277, test loss:    11.618 
epoch 106, train loss:    11.074, test loss:    11.333 
epoch 107, train loss:    10.919, test loss:    11.342 
epoch 108, train loss:    10.687, test loss:    11.146 
epoch 109, train loss:    10.538, test loss:    10.543 
epoch 110, train loss:    10.335, test loss:    10.386 
epoch 111, train loss:    10.179, test loss:    10.343 
epoch 112, train loss:     9.968, test loss:    10.251 
epoch 113, train loss:     9.836, test loss:    10.240 
epoch 114, train loss:     9.724, test loss:     9.776 
epoch 115, train loss:     9.608, test loss:     9.959 
epoch 116, train loss:     9.482, test loss:    10.011 
epoch 117, train loss:     9.364, test loss:     9.426 
epoch 118, train loss:     9.217, test loss:     9.625 
epoch 119, train loss:     9.116, test loss:     9.413 
epoch 120, train loss:     8.930, test loss:     9.294 
epoch 121, train loss:     8.769, test loss:     9.282 
epoch 122, train loss:     8.737, test loss:     8.521 
epoch 123, train loss:     8.595, test loss:     8.424 
epoch 124, train loss:     8.511, test loss:     8.756 
epoch 125, train loss:     8.317, test loss:     9.032 
epoch 126, train loss:     8.357, test loss:     9.308 
epoch 127, train loss:     8.201, test loss:     8.511 
epoch 128, train loss:     8.046, test loss:     8.449 
epoch 129, train loss:     7.945, test loss:     7.993 
epoch 130, train loss:     7.945, test loss:     7.911 
epoch 131, train loss:     7.747, test loss:     7.802 
epoch 132, train loss:     7.749, test loss:     7.669 
epoch 133, train loss:     7.628, test loss:     8.028 
epoch 134, train loss:     7.546, test loss:     7.372 
epoch 135, train loss:     7.486, test loss:     7.603 
epoch 136, train loss:     7.324, test loss:     7.267 
epoch 137, train loss:     7.298, test loss:     7.677 
epoch 138, train loss:     7.271, test loss:     7.331 
epoch 139, train loss:     7.201, test loss:     6.966 
epoch 140, train loss:     7.106, test loss:     7.158 
epoch 141, train loss:     7.043, test loss:     7.087 
epoch 142, train loss:     6.920, test loss:     7.105 
epoch 143, train loss:     6.918, test loss:     7.028 
epoch 144, train loss:     6.879, test loss:     6.904 
epoch 145, train loss:     6.762, test loss:     6.514 
epoch 146, train loss:     6.820, test loss:     6.639 
epoch 147, train loss:     6.668, test loss:     6.787 
epoch 148, train loss:     6.602, test loss:     6.610 
epoch 149, train loss:     6.538, test loss:     6.656 
epoch 150, train loss:     6.488, test loss:     7.127 
epoch 151, train loss:     6.412, test loss:     6.253 
epoch 152, train loss:     6.417, test loss:     6.118 
epoch 153, train loss:     6.353, test loss:     6.368 
epoch 154, train loss:     6.305, test loss:     6.343 
epoch 155, train loss:     6.263, test loss:     6.483 
epoch 156, train loss:     6.166, test loss:     6.323 
epoch 157, train loss:     6.101, test loss:     6.137 
epoch 158, train loss:     6.061, test loss:     6.265 
epoch 159, train loss:     6.019, test loss:     6.294 
epoch 160, train loss:     5.966, test loss:     5.663 
epoch 161, train loss:     6.008, test loss:     7.086 
epoch 162, train loss:     5.916, test loss:     5.979 
epoch 163, train loss:     5.895, test loss:     6.098 
epoch 164, train loss:     5.867, test loss:     6.032 
epoch 165, train loss:     5.852, test loss:     5.936 
epoch 166, train loss:     5.739, test loss:     5.855 
epoch 167, train loss:     5.748, test loss:     6.351 
epoch 168, train loss:     5.758, test loss:     5.610 
epoch 169, train loss:     5.751, test loss:     5.482 
epoch 170, train loss:     5.594, test loss:     5.607 
epoch 171, train loss:     5.488, test loss:     5.650 
epoch 172, train loss:     5.486, test loss:     5.320 
epoch 173, train loss:     5.532, test loss:     5.201 
epoch 174, train loss:     5.484, test loss:     5.435 
epoch 175, train loss:     5.450, test loss:     5.365 
epoch 176, train loss:     5.369, test loss:     5.260 
epoch 177, train loss:     5.365, test loss:     5.120 
epoch 178, train loss:     5.381, test loss:     5.467 
epoch 179, train loss:     5.277, test loss:     5.254 
epoch 180, train loss:     5.301, test loss:     5.117 
epoch 181, train loss:     5.303, test loss:     5.434 
epoch 182, train loss:     5.284, test loss:     5.452 
epoch 183, train loss:     5.198, test loss:     4.933 
epoch 184, train loss:     5.169, test loss:     5.096 
epoch 185, train loss:     5.117, test loss:     5.357 
epoch 186, train loss:     5.144, test loss:     4.928 
epoch 187, train loss:     5.145, test loss:     5.472 
epoch 188, train loss:     5.115, test loss:     4.938 
epoch 189, train loss:     5.026, test loss:     5.066 
epoch 190, train loss:     4.998, test loss:     4.736 
epoch 191, train loss:     5.064, test loss:     4.801 
epoch 192, train loss:     4.993, test loss:     4.788 
epoch 193, train loss:     5.002, test loss:     4.870 
epoch 194, train loss:     4.907, test loss:     5.459 
epoch 195, train loss:     4.951, test loss:     4.906 
