Samples: 10000, Batch size: 30, Epochs: 2000, Noise: 10 %

Eeg Data: data/multiple_dipoles_eeg_10000_1.npy
Location Data: data/multiple_dipoles_locations_10000_1.npy
Mean and std Data: data/multiple_dipoles_1_eeg_mean_std_10000.npy
--------------------------------------------------------------
epoch  0, train loss:  1496.922, test loss:  1492.971 
epoch  1, train loss:  1450.136, test loss:  1431.488 
epoch  2, train loss:  1387.139, test loss:  1342.705 
epoch  3, train loss:  1228.343, test loss:  1149.720 
epoch  4, train loss:  1086.675, test loss:  1044.052 
epoch  5, train loss:  1005.283, test loss:   978.294 
epoch  6, train loss:   951.671, test loss:   931.556 
epoch  7, train loss:   910.916, test loss:   893.862 
epoch  8, train loss:   877.199, test loss:   862.414 
epoch  9, train loss:   847.491, test loss:   832.966 
epoch 10, train loss:   818.991, test loss:   802.673 
epoch 11, train loss:   786.896, test loss:   765.005 
epoch 12, train loss:   744.488, test loss:   721.404 
epoch 13, train loss:   698.897, test loss:   674.681 
epoch 14, train loss:   653.915, test loss:   630.868 
epoch 15, train loss:   610.869, test loss:   590.259 
epoch 16, train loss:   570.921, test loss:   550.985 
epoch 17, train loss:   533.565, test loss:   515.359 
epoch 18, train loss:   497.727, test loss:   482.014 
epoch 19, train loss:   464.807, test loss:   450.873 
epoch 20, train loss:   433.812, test loss:   418.996 
epoch 21, train loss:   403.709, test loss:   389.436 
epoch 22, train loss:   374.056, test loss:   365.297 
epoch 23, train loss:   346.078, test loss:   337.321 
epoch 24, train loss:   320.995, test loss:   309.260 
epoch 25, train loss:   297.298, test loss:   289.321 
epoch 26, train loss:   276.203, test loss:   267.278 
epoch 27, train loss:   256.599, test loss:   248.786 
epoch 28, train loss:   239.391, test loss:   231.573 
epoch 29, train loss:   223.032, test loss:   216.211 
epoch 30, train loss:   208.524, test loss:   201.463 
epoch 31, train loss:   194.900, test loss:   190.193 
epoch 32, train loss:   183.214, test loss:   178.793 
epoch 33, train loss:   171.669, test loss:   169.675 
epoch 34, train loss:   161.391, test loss:   156.362 
epoch 35, train loss:   151.833, test loss:   148.477 
epoch 36, train loss:   142.629, test loss:   139.991 
epoch 37, train loss:   134.092, test loss:   131.644 
epoch 38, train loss:   126.455, test loss:   126.927 
epoch 39, train loss:   119.272, test loss:   117.611 
epoch 40, train loss:   112.147, test loss:   110.783 
epoch 41, train loss:   105.799, test loss:   104.460 
epoch 42, train loss:    99.602, test loss:    99.028 
epoch 43, train loss:    93.814, test loss:    94.424 
epoch 44, train loss:    88.713, test loss:    89.900 
epoch 45, train loss:    83.853, test loss:    82.706 
epoch 46, train loss:    79.205, test loss:    78.287 
epoch 47, train loss:    75.013, test loss:    73.747 
epoch 48, train loss:    70.893, test loss:    71.987 
epoch 49, train loss:    67.127, test loss:    67.692 
epoch 50, train loss:    63.640, test loss:    63.335 
epoch 51, train loss:    60.344, test loss:    60.735 
epoch 52, train loss:    57.418, test loss:    57.131 
epoch 53, train loss:    54.463, test loss:    54.620 
epoch 54, train loss:    51.742, test loss:    51.814 
epoch 55, train loss:    49.257, test loss:    49.013 
