Samples: 10000, Batch size: 30, Epochs: 2000, Noise: 10 %

Eeg Data: data/single_dipole_eeg_10000.npy
Location Data: data/single_dipole_locations_10000.npy
Mean and std Data: data/single_dipole_eeg_mean_std_10000.npy
--------------------------------------------------------------
epoch  0, train loss:  1499.640, test loss:  1500.506 
epoch  1, train loss:  1459.191, test loss:  1440.633 
epoch  2, train loss:  1394.238, test loss:  1357.908 
epoch  3, train loss:  1244.501, test loss:  1160.396 
epoch  4, train loss:  1092.945, test loss:  1048.749 
epoch  5, train loss:  1008.223, test loss:   979.641 
epoch  6, train loss:   950.577, test loss:   929.056 
epoch  7, train loss:   906.550, test loss:   888.137 
epoch  8, train loss:   869.331, test loss:   852.602 
epoch  9, train loss:   836.216, test loss:   819.003 
epoch 10, train loss:   802.338, test loss:   781.032 
epoch 11, train loss:   760.282, test loss:   734.447 
epoch 12, train loss:   715.225, test loss:   690.261 
epoch 13, train loss:   670.523, test loss:   644.772 
epoch 14, train loss:   626.625, test loss:   602.742 
epoch 15, train loss:   582.976, test loss:   559.406 
epoch 16, train loss:   539.964, test loss:   518.622 
epoch 17, train loss:   498.819, test loss:   477.983 
epoch 18, train loss:   460.157, test loss:   441.900 
epoch 19, train loss:   424.791, test loss:   409.156 
epoch 20, train loss:   391.757, test loss:   376.512 
epoch 21, train loss:   361.852, test loss:   348.499 
epoch 22, train loss:   334.106, test loss:   322.863 
epoch 23, train loss:   309.172, test loss:   298.081 
epoch 24, train loss:   286.639, test loss:   278.202 
epoch 25, train loss:   265.974, test loss:   256.572 
epoch 26, train loss:   246.937, test loss:   242.648 
epoch 27, train loss:   230.444, test loss:   222.515 
epoch 28, train loss:   215.027, test loss:   208.220 
epoch 29, train loss:   201.860, test loss:   196.014 
epoch 30, train loss:   189.103, test loss:   183.456 
epoch 31, train loss:   177.951, test loss:   173.486 
epoch 32, train loss:   167.436, test loss:   164.624 
epoch 33, train loss:   157.730, test loss:   153.489 
epoch 34, train loss:   148.984, test loss:   144.557 
epoch 35, train loss:   140.488, test loss:   139.424 
epoch 36, train loss:   132.813, test loss:   134.748 
epoch 37, train loss:   125.397, test loss:   123.242 
epoch 38, train loss:   118.243, test loss:   131.888 
epoch 39, train loss:   111.909, test loss:   113.058 
epoch 40, train loss:   105.641, test loss:   104.686 
epoch 41, train loss:    99.596, test loss:    97.940 
epoch 42, train loss:    93.927, test loss:    94.625 
epoch 43, train loss:    88.508, test loss:    88.266 
epoch 44, train loss:    83.816, test loss:    83.310 
epoch 45, train loss:    78.946, test loss:    77.827 
epoch 46, train loss:    74.621, test loss:    74.793 
epoch 47, train loss:    70.758, test loss:    70.755 
epoch 48, train loss:    67.035, test loss:    66.555 
epoch 49, train loss:    63.673, test loss:    65.259 
epoch 50, train loss:    60.399, test loss:    60.745 
epoch 51, train loss:    57.322, test loss:    58.343 
epoch 52, train loss:    54.615, test loss:    54.663 
epoch 53, train loss:    52.146, test loss:    52.663 
epoch 54, train loss:    49.660, test loss:    50.217 
epoch 55, train loss:    47.396, test loss:    47.724 
epoch 56, train loss:    45.514, test loss:    45.605 
epoch 57, train loss:    43.487, test loss:    44.411 
epoch 58, train loss:    41.722, test loss:    41.990 
epoch 59, train loss:    39.956, test loss:    41.308 
epoch 60, train loss:    38.274, test loss:    39.289 
epoch 61, train loss:    36.934, test loss:    37.824 
epoch 62, train loss:    35.265, test loss:    35.802 
epoch 63, train loss:    34.003, test loss:    35.047 
epoch 64, train loss:    32.823, test loss:    34.842 
