Samples: 10000, Batch size: 30, Epochs: 500, Noise: 15 %

Eeg Data: data/multiple_dipoles_eeg_10000_1.npy
Location Data: data/multiple_dipoles_locations_10000_1.npy
Mean and std Data: data/multiple_dipoles_1_eeg_mean_std_10000.npy
--------------------------------------------------------------
epoch  0, train loss:  1495.857, test loss:  1487.978 
epoch  1, train loss:  1442.596, test loss:  1423.222 
epoch  2, train loss:  1375.289, test loss:  1328.750 
epoch  3, train loss:  1221.370, test loss:  1143.482 
epoch  4, train loss:  1082.115, test loss:  1040.602 
epoch  5, train loss:  1003.919, test loss:   977.848 
epoch  6, train loss:   951.586, test loss:   932.221 
epoch  7, train loss:   911.793, test loss:   895.121 
epoch  8, train loss:   879.432, test loss:   863.838 
epoch  9, train loss:   851.128, test loss:   836.323 
epoch 10, train loss:   824.885, test loss:   810.264 
epoch 11, train loss:   798.076, test loss:   779.724 
epoch 12, train loss:   764.941, test loss:   741.778 
epoch 13, train loss:   720.985, test loss:   698.190 
epoch 14, train loss:   676.924, test loss:   652.207 
epoch 15, train loss:   633.704, test loss:   611.202 
epoch 16, train loss:   592.818, test loss:   574.705 
epoch 17, train loss:   554.027, test loss:   534.653 
epoch 18, train loss:   517.960, test loss:   499.154 
epoch 19, train loss:   483.646, test loss:   467.065 
epoch 20, train loss:   452.222, test loss:   435.660 
epoch 21, train loss:   421.618, test loss:   404.784 
epoch 22, train loss:   390.624, test loss:   375.846 
epoch 23, train loss:   361.777, test loss:   346.803 
epoch 24, train loss:   334.906, test loss:   323.530 
epoch 25, train loss:   310.665, test loss:   300.102 
epoch 26, train loss:   288.165, test loss:   277.049 
epoch 27, train loss:   267.860, test loss:   258.025 
epoch 28, train loss:   248.989, test loss:   243.312 
epoch 29, train loss:   232.397, test loss:   223.987 
epoch 30, train loss:   216.794, test loss:   209.832 
epoch 31, train loss:   203.305, test loss:   198.049 
epoch 32, train loss:   190.299, test loss:   183.862 
epoch 33, train loss:   178.823, test loss:   171.927 
epoch 34, train loss:   167.488, test loss:   163.358 
epoch 35, train loss:   157.375, test loss:   153.207 
epoch 36, train loss:   147.795, test loss:   144.155 
epoch 37, train loss:   138.596, test loss:   135.194 
epoch 38, train loss:   130.155, test loss:   126.362 
epoch 39, train loss:   122.496, test loss:   119.761 
epoch 40, train loss:   115.239, test loss:   111.424 
epoch 41, train loss:   108.524, test loss:   106.930 
epoch 42, train loss:   101.659, test loss:    98.797 
epoch 43, train loss:    95.621, test loss:    93.658 
epoch 44, train loss:    90.032, test loss:    89.028 
epoch 45, train loss:    84.977, test loss:    83.550 
epoch 46, train loss:    80.089, test loss:    78.921 
epoch 47, train loss:    75.907, test loss:    74.084 
epoch 48, train loss:    71.698, test loss:    70.624 
epoch 49, train loss:    68.109, test loss:    67.427 
epoch 50, train loss:    64.473, test loss:    63.125 
epoch 51, train loss:    61.245, test loss:    60.676 
epoch 52, train loss:    58.371, test loss:    58.086 
epoch 53, train loss:    55.666, test loss:    54.621 
epoch 54, train loss:    53.119, test loss:    52.181 
epoch 55, train loss:    50.759, test loss:    50.308 
epoch 56, train loss:    48.610, test loss:    48.150 
epoch 57, train loss:    46.390, test loss:    45.838 
epoch 58, train loss:    44.669, test loss:    45.958 
epoch 59, train loss:    42.923, test loss:    42.269 
epoch 60, train loss:    41.203, test loss:    40.433 
epoch 61, train loss:    39.595, test loss:    39.329 
epoch 62, train loss:    38.057, test loss:    38.404 
epoch 63, train loss:    36.717, test loss:    36.033 
epoch 64, train loss:    35.500, test loss:    34.904 
epoch 65, train loss:    34.262, test loss:    33.516 
epoch 66, train loss:    33.005, test loss:    32.249 
epoch 67, train loss:    31.988, test loss:    31.313 
epoch 68, train loss:    30.762, test loss:    30.158 
epoch 69, train loss:    29.822, test loss:    28.895 
epoch 70, train loss:    29.034, test loss:    28.389 
epoch 71, train loss:    28.063, test loss:    27.809 
epoch 72, train loss:    27.074, test loss:    26.546 
epoch 73, train loss:    26.477, test loss:    25.428 
epoch 74, train loss:    25.596, test loss:    24.963 
epoch 75, train loss:    24.844, test loss:    24.394 
epoch 76, train loss:    24.249, test loss:    23.337 
epoch 77, train loss:    23.584, test loss:    23.547 
epoch 78, train loss:    22.885, test loss:    21.980 
epoch 79, train loss:    22.439, test loss:    21.682 
epoch 80, train loss:    21.820, test loss:    21.336 
epoch 81, train loss:    21.384, test loss:    20.352 
epoch 82, train loss:    20.664, test loss:    20.030 
epoch 83, train loss:    20.264, test loss:    19.447 
