Samples: 10000, Batch size: 30, Epochs: 2000, Noise: 10 %

Eeg Data: data/multiple_dipoles_eeg_10000_2.npy
Location Data: data/multiple_dipoles_locations_10000_2.npy
Mean and std Data: data/multiple_dipoles_2_eeg_mean_std_10000.npy
--------------------------------------------------------------
epoch  0, train loss:  1503.994, test loss:  1532.436 
epoch  1, train loss:  1489.170, test loss:  1509.697 
epoch  2, train loss:  1463.162, test loss:  1476.602 
epoch  3, train loss:  1432.969, test loss:  1444.362 
epoch  4, train loss:  1406.711, test loss:  1417.705 
epoch  5, train loss:  1386.050, test loss:  1396.839 
epoch  6, train loss:  1370.277, test loss:  1380.951 
epoch  7, train loss:  1358.380, test loss:  1368.933 
epoch  8, train loss:  1350.027, test loss:  1359.795 
epoch  9, train loss:  1343.493, test loss:  1352.855 
epoch 10, train loss:  1338.730, test loss:  1347.538 
epoch 11, train loss:  1335.170, test loss:  1343.405 
epoch 12, train loss:  1332.522, test loss:  1340.151 
epoch 13, train loss:  1330.155, test loss:  1337.349 
epoch 14, train loss:  1326.810, test loss:  1331.012 
epoch 15, train loss:  1300.087, test loss:  1295.349 
epoch 16, train loss:  1257.750, test loss:  1256.591 
epoch 17, train loss:  1223.329, test loss:  1231.761 
epoch 18, train loss:  1204.092, test loss:  1224.026 
epoch 19, train loss:  1189.801, test loss:  1204.384 
epoch 20, train loss:  1178.244, test loss:  1192.814 
epoch 21, train loss:  1168.629, test loss:  1182.443 
epoch 22, train loss:  1160.642, test loss:  1175.638 
epoch 23, train loss:  1153.163, test loss:  1166.805 
epoch 24, train loss:  1145.240, test loss:  1161.364 
epoch 25, train loss:  1138.663, test loss:  1151.530 
epoch 26, train loss:  1131.708, test loss:  1145.512 
epoch 27, train loss:  1125.377, test loss:  1139.178 
epoch 28, train loss:  1119.427, test loss:  1133.150 
epoch 29, train loss:  1114.014, test loss:  1127.481 
epoch 30, train loss:  1108.895, test loss:  1122.600 
epoch 31, train loss:  1104.262, test loss:  1117.636 
epoch 32, train loss:  1100.289, test loss:  1113.146 
epoch 33, train loss:  1095.719, test loss:  1112.342 
epoch 34, train loss:  1091.911, test loss:  1103.946 
epoch 35, train loss:  1088.437, test loss:  1100.643 
epoch 36, train loss:  1084.911, test loss:  1097.070 
epoch 37, train loss:  1081.828, test loss:  1094.004 
epoch 38, train loss:  1078.872, test loss:  1091.974 
epoch 39, train loss:  1076.070, test loss:  1089.276 
epoch 40, train loss:  1073.458, test loss:  1084.505 
epoch 41, train loss:  1070.719, test loss:  1081.667 
epoch 42, train loss:  1067.804, test loss:  1078.709 
epoch 43, train loss:  1064.976, test loss:  1078.250 
epoch 44, train loss:  1061.903, test loss:  1073.115 
epoch 45, train loss:  1058.027, test loss:  1072.071 
epoch 46, train loss:  1053.981, test loss:  1064.680 
epoch 47, train loss:  1048.721, test loss:  1059.552 
epoch 48, train loss:  1042.660, test loss:  1053.093 
epoch 49, train loss:  1035.688, test loss:  1048.765 
epoch 50, train loss:  1028.286, test loss:  1040.054 
epoch 51, train loss:  1020.270, test loss:  1030.328 
epoch 52, train loss:  1012.072, test loss:  1021.152 
epoch 53, train loss:  1004.139, test loss:  1014.467 
epoch 54, train loss:   995.380, test loss:  1006.731 
epoch 55, train loss:   986.843, test loss:   997.992 
epoch 56, train loss:   978.548, test loss:   988.235 
epoch 57, train loss:   969.652, test loss:   985.097 
epoch 58, train loss:   961.091, test loss:   973.659 
epoch 59, train loss:   952.500, test loss:   965.210 
epoch 60, train loss:   943.299, test loss:   955.653 
epoch 61, train loss:   934.517, test loss:   948.764 
epoch 62, train loss:   926.129, test loss:   939.834 
epoch 63, train loss:   917.926, test loss:   932.452 
epoch 64, train loss:   910.111, test loss:   923.895 
epoch 65, train loss:   902.932, test loss:   917.358 
epoch 66, train loss:   894.622, test loss:   909.601 
epoch 67, train loss:   888.159, test loss:   903.148 
epoch 68, train loss:   881.238, test loss:   896.954 
epoch 69, train loss:   874.815, test loss:   889.358 
epoch 70, train loss:   868.851, test loss:   883.944 
epoch 71, train loss:   862.851, test loss:   879.397 
epoch 72, train loss:   857.231, test loss:   872.904 
epoch 73, train loss:   852.174, test loss:   868.632 
epoch 74, train loss:   846.759, test loss:   865.821 
epoch 75, train loss:   842.121, test loss:   858.263 
epoch 76, train loss:   836.963, test loss:   854.379 
epoch 77, train loss:   832.888, test loss:   849.693 
