Samples: 30000, Batch size: 30, Epochs: 500, Noise: 15 %

Eeg Data: data/multiple_dipoles_eeg_30000_2.npy
Location Data: data/multiple_dipoles_locations_30000_2.npy
Mean and std Data: data/multiple_dipoles_2_eeg_mean_std_30000.npy
--------------------------------------------------------------
epoch  0, train loss:  1482.200, test loss:  1423.916 
epoch  1, train loss:  1398.772, test loss:  1359.665 
epoch  2, train loss:  1355.064, test loss:  1333.468 
epoch  3, train loss:  1337.198, test loss:  1322.459 
epoch  4, train loss:  1320.583, test loss:  1294.051 
epoch  5, train loss:  1258.989, test loss:  1205.335 
epoch  6, train loss:  1191.422, test loss:  1167.930 
epoch  7, train loss:  1159.511, test loss:  1140.248 
epoch  8, train loss:  1135.495, test loss:  1120.505 
epoch  9, train loss:  1117.227, test loss:  1103.605 
epoch 10, train loss:  1102.568, test loss:  1091.455 
epoch 11, train loss:  1090.216, test loss:  1079.431 
epoch 12, train loss:  1078.418, test loss:  1067.141 
epoch 13, train loss:  1063.686, test loss:  1051.600 
epoch 14, train loss:  1045.449, test loss:  1033.420 
epoch 15, train loss:  1024.286, test loss:  1011.390 
epoch 16, train loss:  1002.194, test loss:   988.587 
epoch 17, train loss:   979.028, test loss:   965.231 
epoch 18, train loss:   956.168, test loss:   942.989 
epoch 19, train loss:   934.066, test loss:   921.478 
epoch 20, train loss:   913.233, test loss:   902.065 
epoch 21, train loss:   894.016, test loss:   883.008 
epoch 22, train loss:   876.500, test loss:   867.323 
epoch 23, train loss:   861.147, test loss:   852.495 
epoch 24, train loss:   847.383, test loss:   841.228 
epoch 25, train loss:   834.633, test loss:   827.295 
epoch 26, train loss:   823.759, test loss:   817.179 
epoch 27, train loss:   814.134, test loss:   808.531 
epoch 28, train loss:   805.222, test loss:   800.218 
epoch 29, train loss:   797.525, test loss:   792.851 
epoch 30, train loss:   790.542, test loss:   786.408 
epoch 31, train loss:   784.064, test loss:   780.834 
epoch 32, train loss:   777.989, test loss:   774.240 
epoch 33, train loss:   772.614, test loss:   769.446 
epoch 34, train loss:   767.658, test loss:   765.492 
epoch 35, train loss:   763.037, test loss:   760.528 
epoch 36, train loss:   759.030, test loss:   757.962 
epoch 37, train loss:   754.891, test loss:   755.399 
epoch 38, train loss:   751.522, test loss:   750.547 
epoch 39, train loss:   748.317, test loss:   746.703 
epoch 40, train loss:   745.088, test loss:   744.153 
epoch 41, train loss:   742.238, test loss:   740.819 
epoch 42, train loss:   739.565, test loss:   741.070 
epoch 43, train loss:   737.060, test loss:   735.881 
epoch 44, train loss:   734.809, test loss:   734.938 
epoch 45, train loss:   732.537, test loss:   732.874 
epoch 46, train loss:   730.509, test loss:   731.813 
epoch 47, train loss:   728.898, test loss:   729.872 
epoch 48, train loss:   726.813, test loss:   729.032 
epoch 49, train loss:   725.306, test loss:   726.836 
epoch 50, train loss:   723.587, test loss:   724.908 
epoch 51, train loss:   722.241, test loss:   723.740 
epoch 52, train loss:   720.789, test loss:   721.148 
