Samples: 10000, Batch size: 30, Epochs: 1000, Noise: 10 %

Eeg Data: data/multiple_dipoles_eeg_10000_2.npy
Location Data: data/multiple_dipoles_locations_10000_2.npy
Mean and std Data: data/multiple_dipoles_2_eeg_mean_std_10000.npy
--------------------------------------------------------------
epoch  0, train loss:  1502.623, test loss:  1534.280 
epoch  1, train loss:  1473.430, test loss:  1286.229 
epoch  2, train loss:  1124.992, test loss:   972.074 
epoch  3, train loss:   912.955, test loss:   902.622 
epoch  4, train loss:   866.848, test loss:   866.175 
epoch  5, train loss:   848.349, test loss:   867.405 
epoch  6, train loss:   840.311, test loss:   839.618 
epoch  7, train loss:   831.019, test loss:   834.852 
epoch  8, train loss:   822.711, test loss:   835.432 
epoch  9, train loss:   814.802, test loss:   810.588 
epoch 10, train loss:   799.086, test loss:   799.756 
epoch 11, train loss:   787.883, test loss:   795.414 
epoch 12, train loss:   783.043, test loss:   792.047 
epoch 13, train loss:   775.057, test loss:   801.599 
epoch 14, train loss:   772.983, test loss:   776.164 
epoch 15, train loss:   766.643, test loss:   785.788 
epoch 16, train loss:   764.610, test loss:   770.049 
epoch 17, train loss:   759.790, test loss:   768.335 
epoch 18, train loss:   759.217, test loss:   768.054 
epoch 19, train loss:   757.528, test loss:   770.158 
epoch 20, train loss:   753.572, test loss:   765.217 
epoch 21, train loss:   749.642, test loss:   776.842 
epoch 22, train loss:   750.821, test loss:   762.441 
epoch 23, train loss:   747.349, test loss:   762.645 
epoch 24, train loss:   746.031, test loss:   761.052 
epoch 25, train loss:   744.537, test loss:   760.215 
epoch 26, train loss:   743.481, test loss:   749.687 
epoch 27, train loss:   743.630, test loss:   753.173 
epoch 28, train loss:   739.504, test loss:   754.467 
epoch 29, train loss:   739.282, test loss:   749.884 
epoch 30, train loss:   739.925, test loss:   783.384 
epoch 31, train loss:   736.323, test loss:   750.829 
epoch 32, train loss:   736.610, test loss:   770.181 
epoch 33, train loss:   733.317, test loss:   754.369 
epoch 34, train loss:   735.845, test loss:   748.430 
epoch 35, train loss:   732.533, test loss:   749.806 
epoch 36, train loss:   732.263, test loss:   747.849 
epoch 37, train loss:   731.492, test loss:   750.529 
epoch 38, train loss:   730.878, test loss:   743.658 
epoch 39, train loss:   729.691, test loss:   750.907 
epoch 40, train loss:   728.720, test loss:   741.891 
epoch 41, train loss:   727.817, test loss:   743.173 
epoch 42, train loss:   726.544, test loss:   751.015 
epoch 43, train loss:   726.781, test loss:   739.589 
epoch 44, train loss:   726.710, test loss:   742.768 
epoch 45, train loss:   725.592, test loss:   762.470 
epoch 46, train loss:   724.635, test loss:   744.778 
epoch 47, train loss:   722.551, test loss:   749.050 
epoch 48, train loss:   724.133, test loss:   742.472 
epoch 49, train loss:   723.398, test loss:   755.608 
epoch 50, train loss:   722.452, test loss:   770.563 
epoch 51, train loss:   722.089, test loss:   747.714 
epoch 52, train loss:   721.364, test loss:   751.692 
epoch 53, train loss:   720.659, test loss:   738.557 
epoch 54, train loss:   720.253, test loss:   735.138 
epoch 55, train loss:   720.630, test loss:   742.112 
epoch 56, train loss:   719.554, test loss:   739.323 
epoch 57, train loss:   717.834, test loss:   746.262 
epoch 58, train loss:   718.014, test loss:   743.086 
epoch 59, train loss:   718.223, test loss:   735.062 
epoch 60, train loss:   717.638, test loss:   734.600 
epoch 61, train loss:   715.885, test loss:   734.097 
epoch 62, train loss:   716.210, test loss:   739.762 
epoch 63, train loss:   714.883, test loss:   736.972 
epoch 64, train loss:   715.883, test loss:   732.920 
epoch 65, train loss:   714.559, test loss:   744.458 
epoch 66, train loss:   714.448, test loss:   734.822 
epoch 67, train loss:   714.368, test loss:   741.184 
epoch 68, train loss:   713.784, test loss:   731.402 
epoch 69, train loss:   714.237, test loss:   740.096 
epoch 70, train loss:   712.805, test loss:   730.973 
epoch 71, train loss:   711.916, test loss:   755.485 
epoch 72, train loss:   711.842, test loss:   740.601 
epoch 73, train loss:   712.121, test loss:   733.599 
epoch 74, train loss:   711.792, test loss:   732.936 
epoch 75, train loss:   710.788, test loss:   743.506 
epoch 76, train loss:   711.818, test loss:   733.891 
epoch 77, train loss:   710.167, test loss:   732.625 
epoch 78, train loss:   710.607, test loss:   731.650 
epoch 79, train loss:   709.714, test loss:   739.255 
epoch 80, train loss:   708.912, test loss:   728.954 
epoch 81, train loss:   707.310, test loss:   740.162 
