Samples: 10000, Batch size: 30, Epochs: 500, Noise: 15 %

Eeg Data: data/multiple_dipoles_eeg_10000_1.npy
Location Data: data/multiple_dipoles_locations_10000_1.npy
Mean and std Data: data/multiple_dipoles_1_eeg_mean_std_10000.npy
--------------------------------------------------------------
epoch  0, train loss:  1143.610, test loss:  1146.609 
epoch  1, train loss:  1124.874, test loss:  1121.216 
epoch  2, train loss:  1094.681, test loss:  1087.266 
epoch  3, train loss:  1059.307, test loss:  1046.813 
epoch  4, train loss:  1019.745, test loss:  1004.632 
epoch  5, train loss:   969.656, test loss:   947.619 
epoch  6, train loss:   916.023, test loss:   898.133 
epoch  7, train loss:   871.299, test loss:   856.219 
epoch  8, train loss:   834.519, test loss:   822.861 
epoch  9, train loss:   805.976, test loss:   794.899 
epoch 10, train loss:   782.719, test loss:   770.178 
epoch 11, train loss:   760.821, test loss:   748.565 
epoch 12, train loss:   742.150, test loss:   730.116 
epoch 13, train loss:   726.812, test loss:   716.206 
epoch 14, train loss:   714.920, test loss:   704.409 
epoch 15, train loss:   704.388, test loss:   692.106 
epoch 16, train loss:   693.837, test loss:   679.915 
epoch 17, train loss:   683.960, test loss:   670.138 
epoch 18, train loss:   676.680, test loss:   663.247 
epoch 19, train loss:   669.587, test loss:   654.827 
epoch 20, train loss:   661.303, test loss:   647.012 
epoch 21, train loss:   651.902, test loss:   642.836 
epoch 22, train loss:   645.251, test loss:   632.197 
epoch 23, train loss:   636.734, test loss:   623.507 
epoch 24, train loss:   627.123, test loss:   614.538 
epoch 25, train loss:   618.138, test loss:   602.526 
epoch 26, train loss:   608.290, test loss:   592.071 
epoch 27, train loss:   592.551, test loss:   578.368 
epoch 28, train loss:   579.713, test loss:   562.841 
epoch 29, train loss:   564.848, test loss:   547.669 
epoch 30, train loss:   551.198, test loss:   532.907 
epoch 31, train loss:   531.707, test loss:   515.033 
epoch 32, train loss:   516.636, test loss:   498.936 
epoch 33, train loss:   503.136, test loss:   484.431 
epoch 34, train loss:   489.970, test loss:   471.487 
epoch 35, train loss:   476.055, test loss:   457.130 
epoch 36, train loss:   463.437, test loss:   450.124 
epoch 37, train loss:   449.031, test loss:   433.915 
epoch 38, train loss:   440.746, test loss:   423.403 
epoch 39, train loss:   427.904, test loss:   413.789 
epoch 40, train loss:   419.429, test loss:   408.045 
epoch 41, train loss:   409.022, test loss:   395.018 
epoch 42, train loss:   398.963, test loss:   383.676 
epoch 43, train loss:   388.832, test loss:   372.995 
epoch 44, train loss:   379.656, test loss:   366.835 
epoch 45, train loss:   367.450, test loss:   352.735 
epoch 46, train loss:   357.958, test loss:   343.456 
epoch 47, train loss:   351.960, test loss:   336.717 
epoch 48, train loss:   341.113, test loss:   326.764 
epoch 49, train loss:   331.419, test loss:   322.477 
epoch 50, train loss:   324.756, test loss:   311.593 
epoch 51, train loss:   316.706, test loss:   306.255 
epoch 52, train loss:   310.767, test loss:   297.681 
epoch 53, train loss:   305.481, test loss:   293.911 
epoch 54, train loss:   298.003, test loss:   288.164 
epoch 55, train loss:   295.732, test loss:   282.801 
epoch 56, train loss:   288.693, test loss:   277.854 
epoch 57, train loss:   287.815, test loss:   276.253 
epoch 58, train loss:   280.231, test loss:   269.969 
epoch 59, train loss:   274.989, test loss:   266.317 
epoch 60, train loss:   272.152, test loss:   261.205 
epoch 61, train loss:   269.979, test loss:   257.019 
epoch 62, train loss:   264.104, test loss:   254.935 
epoch 63, train loss:   261.584, test loss:   252.808 
epoch 64, train loss:   257.230, test loss:   251.224 
epoch 65, train loss:   254.585, test loss:   245.353 
epoch 66, train loss:   251.374, test loss:   243.154 
epoch 67, train loss:   249.034, test loss:   244.082 
epoch 68, train loss:   244.525, test loss:   242.299 
epoch 69, train loss:   244.930, test loss:   238.071 
epoch 70, train loss:   243.393, test loss:   238.186 
epoch 71, train loss:   239.802, test loss:   234.692 
epoch 72, train loss:   237.076, test loss:   238.676 
epoch 73, train loss:   237.559, test loss:   230.532 
epoch 74, train loss:   231.369, test loss:   228.932 
epoch 75, train loss:   229.421, test loss:   228.080 
epoch 76, train loss:   230.630, test loss:   224.722 
epoch 77, train loss:   226.518, test loss:   223.685 
epoch 78, train loss:   225.183, test loss:   221.615 
epoch 79, train loss:   222.846, test loss:   223.058 
epoch 80, train loss:   219.324, test loss:   219.575 
epoch 81, train loss:   220.219, test loss:   216.535 
epoch 82, train loss:   215.589, test loss:   217.315 
epoch 83, train loss:   213.642, test loss:   214.262 
epoch 84, train loss:   213.249, test loss:   209.731 
epoch 85, train loss:   213.012, test loss:   210.760 
epoch 86, train loss:   213.251, test loss:   208.979 
epoch 87, train loss:   210.921, test loss:   206.980 
epoch 88, train loss:   207.645, test loss:   208.027 
epoch 89, train loss:   207.133, test loss:   206.864 
epoch 90, train loss:   208.331, test loss:   205.793 
epoch 91, train loss:   205.409, test loss:   204.240 
epoch 92, train loss:   205.766, test loss:   204.395 
epoch 93, train loss:   204.456, test loss:   202.185 
epoch 94, train loss:   204.333, test loss:   201.573 
epoch 95, train loss:   201.807, test loss:   200.470 
epoch 96, train loss:   202.088, test loss:   199.214 
epoch 97, train loss:   202.617, test loss:   197.245 
epoch 98, train loss:   200.146, test loss:   198.189 
epoch 99, train loss:   198.668, test loss:   197.904 
epoch 100, train loss:   196.890, test loss:   195.187 
epoch 101, train loss:   197.011, test loss:   196.528 
epoch 102, train loss:   199.954, test loss:   194.434 
epoch 103, train loss:   197.960, test loss:   193.598 
epoch 104, train loss:   197.929, test loss:   194.759 
epoch 105, train loss:   193.193, test loss:   193.040 
epoch 106, train loss:   194.065, test loss:   191.087 
epoch 107, train loss:   195.622, test loss:   191.514 
epoch 108, train loss:   193.360, test loss:   192.849 
epoch 109, train loss:   190.932, test loss:   189.964 
epoch 110, train loss:   194.399, test loss:   191.005 
epoch 111, train loss:   194.413, test loss:   191.052 
epoch 112, train loss:   190.340, test loss:   189.426 
epoch 113, train loss:   191.487, test loss:   189.389 
epoch 114, train loss:   192.415, test loss:   188.600 
epoch 115, train loss:   190.622, test loss:   189.880 
epoch 116, train loss:   189.012, test loss:   187.134 
epoch 117, train loss:   191.101, test loss:   187.673 
epoch 118, train loss:   190.482, test loss:   187.717 
epoch 119, train loss:   188.861, test loss:   188.995 
epoch 120, train loss:   186.439, test loss:   184.964 
epoch 121, train loss:   188.106, test loss:   184.258 
epoch 122, train loss:   185.043, test loss:   184.528 
epoch 123, train loss:   190.001, test loss:   184.125 
epoch 124, train loss:   188.594, test loss:   183.932 
epoch 125, train loss:   186.284, test loss:   185.039 
epoch 126, train loss:   185.122, test loss:   182.168 
epoch 127, train loss:   184.903, test loss:   182.683 
epoch 128, train loss:   183.848, test loss:   181.226 
epoch 129, train loss:   186.085, test loss:   181.979 
epoch 130, train loss:   185.289, test loss:   181.271 
epoch 131, train loss:   184.722, test loss:   182.532 
epoch 132, train loss:   184.482, test loss:   181.597 
epoch 133, train loss:   182.364, test loss:   181.277 
epoch 134, train loss:   180.206, test loss:   179.584 
epoch 135, train loss:   183.637, test loss:   180.971 
epoch 136, train loss:   182.041, test loss:   179.512 
epoch 137, train loss:   183.158, test loss:   180.689 
epoch 138, train loss:   182.116, test loss:   180.227 
epoch 139, train loss:   182.859, test loss:   180.048 
epoch 140, train loss:   182.514, test loss:   179.365 
epoch 141, train loss:   181.742, test loss:   178.714 
epoch 142, train loss:   180.632, test loss:   178.100 
epoch 143, train loss:   179.149, test loss:   177.832 
epoch 144, train loss:   179.609, test loss:   176.224 
epoch 145, train loss:   177.700, test loss:   175.482 
epoch 146, train loss:   180.380, test loss:   175.416 
epoch 147, train loss:   180.271, test loss:   176.393 
epoch 148, train loss:   180.027, test loss:   178.378 
epoch 149, train loss:   179.664, test loss:   175.601 
epoch 150, train loss:   180.716, test loss:   176.667 
epoch 151, train loss:   181.205, test loss:   177.622 
epoch 152, train loss:   177.928, test loss:   176.529 
epoch 153, train loss:   179.677, test loss:   177.431 
epoch 154, train loss:   176.147, test loss:   175.444 
epoch 155, train loss:   176.916, test loss:   176.083 
epoch 156, train loss:   179.249, test loss:   175.765 
epoch 157, train loss:   179.067, test loss:   175.333 
epoch 158, train loss:   178.668, test loss:   175.176 
epoch 159, train loss:   178.413, test loss:   174.810 
epoch 160, train loss:   179.916, test loss:   175.458 
epoch 161, train loss:   178.467, test loss:   176.212 
epoch 162, train loss:   177.543, test loss:   174.159 
epoch 163, train loss:   176.242, test loss:   175.199 
epoch 164, train loss:   177.575, test loss:   174.761 
epoch 165, train loss:   179.822, test loss:   176.563 
epoch 166, train loss:   175.292, test loss:   173.653 
epoch 167, train loss:   177.228, test loss:   173.449 
epoch 168, train loss:   176.805, test loss:   173.229 
epoch 169, train loss:   174.923, test loss:   172.634 
epoch 170, train loss:   176.264, test loss:   172.456 
epoch 171, train loss:   176.031, test loss:   172.287 
epoch 172, train loss:   174.907, test loss:   171.480 
epoch 173, train loss:   176.974, test loss:   176.172 
epoch 174, train loss:   176.365, test loss:   173.257 
epoch 175, train loss:   175.800, test loss:   174.133 
epoch 176, train loss:   178.787, test loss:   176.165 
epoch 177, train loss:   177.712, test loss:   175.249 
epoch 178, train loss:   176.519, test loss:   173.566 
epoch 179, train loss:   174.082, test loss:   172.058 
epoch 180, train loss:   172.472, test loss:   172.299 
epoch 181, train loss:   175.334, test loss:   173.101 
epoch 182, train loss:   174.527, test loss:   172.641 
epoch 183, train loss:   176.055, test loss:   173.326 
epoch 184, train loss:   174.579, test loss:   172.457 
epoch 185, train loss:   174.050, test loss:   171.794 
epoch 186, train loss:   174.498, test loss:   173.455 
epoch 187, train loss:   175.430, test loss:   173.330 
epoch 188, train loss:   172.158, test loss:   172.419 
epoch 189, train loss:   175.276, test loss:   174.812 
epoch 190, train loss:   174.031, test loss:   172.804 
epoch 191, train loss:   175.223, test loss:   173.120 
epoch 192, train loss:   174.899, test loss:   171.492 
epoch 193, train loss:   173.432, test loss:   170.890 
epoch 194, train loss:   171.466, test loss:   170.949 
epoch 195, train loss:   173.796, test loss:   169.877 
epoch 196, train loss:   173.970, test loss:   170.806 
epoch 197, train loss:   172.220, test loss:   171.792 
epoch 198, train loss:   172.632, test loss:   170.395 
epoch 199, train loss:   174.883, test loss:   171.343 
epoch 200, train loss:   172.366, test loss:   170.432 
epoch 201, train loss:   173.892, test loss:   170.213 
epoch 202, train loss:   173.213, test loss:   171.425 
epoch 203, train loss:   171.450, test loss:   170.652 
epoch 204, train loss:   171.979, test loss:   171.011 
epoch 205, train loss:   173.501, test loss:   170.705 
epoch 206, train loss:   172.465, test loss:   168.428 
epoch 207, train loss:   171.808, test loss:   169.878 
epoch 208, train loss:   174.493, test loss:   169.622 
epoch 209, train loss:   171.289, test loss:   168.287 
epoch 210, train loss:   170.307, test loss:   169.385 
epoch 211, train loss:   171.739, test loss:   168.620 
epoch 212, train loss:   173.725, test loss:   169.943 
epoch 213, train loss:   170.599, test loss:   168.105 
epoch 214, train loss:   172.012, test loss:   168.989 
epoch 215, train loss:   174.025, test loss:   168.341 
epoch 216, train loss:   170.635, test loss:   169.812 
epoch 217, train loss:   173.616, test loss:   169.801 
epoch 218, train loss:   172.508, test loss:   170.925 
epoch 219, train loss:   170.941, test loss:   169.542 
epoch 220, train loss:   174.967, test loss:   169.939 
epoch 221, train loss:   170.954, test loss:   169.519 
