Samples: 10000, Batch size: 30, Epochs: 500, Noise: 15 %

Eeg Data: data/multiple_dipoles_eeg_10000_1.npy
Location Data: data/multiple_dipoles_locations_10000_1.npy
Mean and std Data: data/multiple_dipoles_1_eeg_mean_std_10000.npy
--------------------------------------------------------------
epoch  0, train loss:  1497.312, test loss:  1491.703 
epoch  1, train loss:  1446.292, test loss:  1424.853 
epoch  2, train loss:  1370.867, test loss:  1303.688 
epoch  3, train loss:  1196.566, test loss:  1126.685 
epoch  4, train loss:  1069.513, test loss:  1031.853 
epoch  5, train loss:   996.320, test loss:   970.223 
epoch  6, train loss:   946.243, test loss:   925.978 
epoch  7, train loss:   907.605, test loss:   889.699 
epoch  8, train loss:   875.501, test loss:   859.888 
epoch  9, train loss:   848.581, test loss:   833.065 
epoch 10, train loss:   825.009, test loss:   809.692 
epoch 11, train loss:   803.324, test loss:   787.445 
epoch 12, train loss:   781.132, test loss:   763.722 
epoch 13, train loss:   752.621, test loss:   729.901 
epoch 14, train loss:   713.895, test loss:   689.184 
epoch 15, train loss:   671.825, test loss:   646.482 
epoch 16, train loss:   628.028, test loss:   602.295 
epoch 17, train loss:   583.326, test loss:   556.412 
epoch 18, train loss:   538.649, test loss:   513.310 
epoch 19, train loss:   496.689, test loss:   476.581 
epoch 20, train loss:   457.103, test loss:   437.005 
epoch 21, train loss:   420.476, test loss:   400.975 
epoch 22, train loss:   387.219, test loss:   370.714 
epoch 23, train loss:   357.050, test loss:   341.664 
epoch 24, train loss:   329.402, test loss:   315.212 
epoch 25, train loss:   304.471, test loss:   290.399 
epoch 26, train loss:   281.796, test loss:   272.561 
epoch 27, train loss:   261.205, test loss:   250.429 
epoch 28, train loss:   242.807, test loss:   232.592 
epoch 29, train loss:   226.349, test loss:   219.699 
epoch 30, train loss:   211.299, test loss:   203.930 
epoch 31, train loss:   197.568, test loss:   189.654 
epoch 32, train loss:   184.926, test loss:   177.757 
epoch 33, train loss:   173.925, test loss:   166.654 
epoch 34, train loss:   163.281, test loss:   156.836 
epoch 35, train loss:   153.179, test loss:   148.689 
epoch 36, train loss:   144.206, test loss:   138.889 
epoch 37, train loss:   135.561, test loss:   131.186 
epoch 38, train loss:   127.511, test loss:   125.221 
epoch 39, train loss:   120.071, test loss:   115.940 
epoch 40, train loss:   112.962, test loss:   109.148 
epoch 41, train loss:   106.255, test loss:   104.556 
epoch 42, train loss:   100.396, test loss:    98.293 
epoch 43, train loss:    94.787, test loss:    92.450 
epoch 44, train loss:    89.419, test loss:    86.839 
epoch 45, train loss:    84.391, test loss:    83.485 
epoch 46, train loss:    79.871, test loss:    78.397 
epoch 47, train loss:    75.750, test loss:    74.176 
epoch 48, train loss:    71.506, test loss:    70.142 
epoch 49, train loss:    68.175, test loss:    67.413 
epoch 50, train loss:    64.590, test loss:    63.574 
epoch 51, train loss:    61.343, test loss:    61.198 
epoch 52, train loss:    58.335, test loss:    58.075 
epoch 53, train loss:    55.797, test loss:    55.220 
epoch 54, train loss:    53.144, test loss:    52.238 
epoch 55, train loss:    51.059, test loss:    50.888 
epoch 56, train loss:    48.544, test loss:    48.298 
epoch 57, train loss:    46.515, test loss:    45.496 
epoch 58, train loss:    44.674, test loss:    43.560 
epoch 59, train loss:    42.826, test loss:    42.205 
epoch 60, train loss:    41.083, test loss:    40.720 
epoch 61, train loss:    39.583, test loss:    38.821 
epoch 62, train loss:    38.256, test loss:    38.360 
epoch 63, train loss:    36.766, test loss:    35.849 
epoch 64, train loss:    35.426, test loss:    34.770 
epoch 65, train loss:    34.303, test loss:    33.569 
epoch 66, train loss:    32.937, test loss:    32.257 
epoch 67, train loss:    32.116, test loss:    31.958 
epoch 68, train loss:    30.858, test loss:    30.578 
epoch 69, train loss:    29.984, test loss:    29.547 
epoch 70, train loss:    29.181, test loss:    28.114 
epoch 71, train loss:    28.149, test loss:    27.596 
epoch 72, train loss:    27.610, test loss:    27.051 
epoch 73, train loss:    26.554, test loss:    26.194 
epoch 74, train loss:    25.708, test loss:    25.299 
epoch 75, train loss:    25.011, test loss:    24.149 
epoch 76, train loss:    24.355, test loss:    23.927 
epoch 77, train loss:    23.777, test loss:    23.788 
epoch 78, train loss:    23.217, test loss:    22.349 
epoch 79, train loss:    22.409, test loss:    22.055 
epoch 80, train loss:    21.928, test loss:    21.636 
epoch 81, train loss:    21.445, test loss:    21.743 
epoch 82, train loss:    20.963, test loss:    20.629 
