Samples: 10000, Batch size: 32, Epochs: 500, Noise: 5 %
Learning rate: 0.1, Momentum: 0.0001, Weight decay: 1e-05 %
 

Eeg Data: data/new/multiple_dipoles_eeg_10000_2.npy
Target Data: data/new/multiple_dipoles_locations_10000_2.npy
--------------------------------------------------------------
Epoch    0/ 499 | Train: 0.060324 | Test: 0.045553 

 Target: tensor([0.4351, 0.2372, 0.4562, 0.0231, 0.2249, 0.4135, 0.5371, 0.0231]) 
Predicted: tensor([0.4273, 0.4538, 0.5038, 0.2180, 0.4301, 0.4515, 0.4204, 0.2194],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.8092, 0.7647, 0.5629, 0.0730, 0.1909, 0.2333, 0.6115, 0.0730]) 
Predicted: tensor([0.4285, 0.4634, 0.5106, 0.2350, 0.4410, 0.4599, 0.4323, 0.2340],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.4237, 0.7317, 0.8553, 0.2388, 0.1628, 0.6739, 0.6380, 0.2388]) 
Predicted: tensor([0.4617, 0.4603, 0.5178, 0.4174, 0.4364, 0.4799, 0.4893, 0.4305],
       grad_fn=<SelectBackward0>) 

Epoch    1/ 499 | Train: 0.042840 | Test: 0.039835 
Epoch    2/ 499 | Train: 0.037571 | Test: 0.034955 
Epoch    3/ 499 | Train: 0.033433 | Test: 0.031639 
Epoch    4/ 499 | Train: 0.031017 | Test: 0.029932 
Epoch    5/ 499 | Train: 0.029750 | Test: 0.029037 
Epoch    6/ 499 | Train: 0.029087 | Test: 0.028579 
Epoch    7/ 499 | Train: 0.028658 | Test: 0.028183 
Epoch    8/ 499 | Train: 0.028336 | Test: 0.027848 
Epoch    9/ 499 | Train: 0.028060 | Test: 0.027732 
Epoch   10/ 499 | Train: 0.027840 | Test: 0.027488 
Epoch   11/ 499 | Train: 0.027648 | Test: 0.027342 
Epoch   12/ 499 | Train: 0.027487 | Test: 0.027094 
Epoch   13/ 499 | Train: 0.027319 | Test: 0.027091 
Epoch   14/ 499 | Train: 0.027200 | Test: 0.026923 
Epoch   15/ 499 | Train: 0.027073 | Test: 0.027075 
Epoch   16/ 499 | Train: 0.026975 | Test: 0.026695 
Epoch   17/ 499 | Train: 0.026856 | Test: 0.026602 
Epoch   18/ 499 | Train: 0.026817 | Test: 0.026553 
Epoch   19/ 499 | Train: 0.026715 | Test: 0.026576 
Epoch   20/ 499 | Train: 0.026639 | Test: 0.026405 
Epoch   21/ 499 | Train: 0.026589 | Test: 0.026424 
Epoch   22/ 499 | Train: 0.026534 | Test: 0.026331 
Epoch   23/ 499 | Train: 0.026469 | Test: 0.026276 
Epoch   24/ 499 | Train: 0.026427 | Test: 0.026226 
Epoch   25/ 499 | Train: 0.026353 | Test: 0.026268 
Epoch   26/ 499 | Train: 0.026327 | Test: 0.026305 
Epoch   27/ 499 | Train: 0.026269 | Test: 0.026209 
Epoch   28/ 499 | Train: 0.026209 | Test: 0.026075 
Epoch   29/ 499 | Train: 0.026193 | Test: 0.026267 
Epoch   30/ 499 | Train: 0.026138 | Test: 0.026030 
Epoch   31/ 499 | Train: 0.026111 | Test: 0.025982 
Epoch   32/ 499 | Train: 0.026066 | Test: 0.025944 
