Samples: 10000, Batch size: 32, Epochs: 2000, Noise: 10 %
Learning rate: 0.01, Momentum: 0.0001, Weight decay: 1e-05 %
 

Eeg Data: data/new/multiple_dipoles_eeg_10000_1.npy
Target Data: data/new/multiple_dipoles_locations_10000_1.npy
--------------------------------------------------------------
Epoch 1372/1999 | Train: 0.037509 | Test: 0.052424 
Epoch    0/1999 | Train: 0.1517162488 | Test: 0.0998532303 

 Target: tensor([0.2011, 0.1608, 0.5095, 0.5271, 0.1481]) 
Predicted: tensor([0.5316, 0.4003, 0.4817, 0.6045, 0.2020], grad_fn=<SelectBackward0>) 

 Target: tensor([0.4375, 0.1434, 0.2800, 0.3902, 0.0755]) 
Predicted: tensor([0.5021, 0.4331, 0.4238, 0.5146, 0.1143], grad_fn=<SelectBackward0>) 

 Target: tensor([0.3282, 0.5396, 0.3016, 0.6330, 0.1668]) 
Predicted: tensor([0.5560, 0.4450, 0.3998, 0.5790, 0.1861], grad_fn=<SelectBackward0>) 

Epoch 1373/1999 | Train: 0.037509 | Test: 0.052424 
Epoch    1/1999 | Train: 0.0928505366 | Test: 0.0908598932 
Epoch 1055/1999 | Train: 0.042061 | Test: 0.052151 
Epoch 1374/1999 | Train: 0.037509 | Test: 0.052424 
Epoch    2/1999 | Train: 0.0865956684 | Test: 0.0864070482 
Epoch    3/1999 | Train: 0.0830634651 | Test: 0.0837187516 
Epoch 1375/1999 | Train: 0.037509 | Test: 0.052424 
Epoch 1056/1999 | Train: 0.042061 | Test: 0.052151 
Epoch    4/1999 | Train: 0.0807816148 | Test: 0.0818926608 
Epoch 1376/1999 | Train: 0.037509 | Test: 0.052424 
Epoch    5/1999 | Train: 0.0790353976 | Test: 0.0802966507 
Epoch 1377/1999 | Train: 0.037509 | Test: 0.052424 
Epoch 1057/1999 | Train: 0.042061 | Test: 0.052151 
Epoch    6/1999 | Train: 0.0776697861 | Test: 0.0792074587 
Epoch 1378/1999 | Train: 0.037509 | Test: 0.052424 
Epoch    7/1999 | Train: 0.0764765627 | Test: 0.0780405280 
Epoch 1379/1999 | Train: 0.037509 | Test: 0.052424 
Epoch    8/1999 | Train: 0.0754125536 | Test: 0.0770179049 
Epoch 1058/1999 | Train: 0.042061 | Test: 0.052151 
Epoch    9/1999 | Train: 0.0744314308 | Test: 0.0761041842 
Epoch 1380/1999 | Train: 0.037509 | Test: 0.052424 
Epoch   10/1999 | Train: 0.0735224375 | Test: 0.0752648566 
Epoch 1381/1999 | Train: 0.037509 | Test: 0.052424 
Epoch 1059/1999 | Train: 0.042061 | Test: 0.052151 
Epoch   11/1999 | Train: 0.0726828149 | Test: 0.0744252193 
Epoch 1382/1999 | Train: 0.037509 | Test: 0.052424 
Epoch   12/1999 | Train: 0.0718871758 | Test: 0.0736877352 
Epoch 1383/1999 | Train: 0.037509 | Test: 0.052424 
Epoch   13/1999 | Train: 0.0711247112 | Test: 0.0731373947 
Epoch 1060/1999 | Train: 0.042061 | Test: 0.052151 
