Samples: 10000, Batch size: 84, Epochs: 5000, Noise: 10 %
Learning rate: 0.01, Momentum: 0.0001, Weight decay: 0.001 %
 

Eeg Data: data/new/multiple_dipoles_eeg_10000_1.npy
Target Data: data/new/multiple_dipoles_locations_10000_1.npy
--------------------------------------------------------------
Epoch 2413/4999 | Train: 0.002078 | Test: 0.004523 
Epoch    0/4999 | Train: 0.135084 | Test: 0.074393 

 Target: tensor([0.2011, 0.1608, 0.5095, 0.1481, 0.1481]) 
Predicted: tensor([0.2491, 0.3737, 0.3737, 0.1226, 0.0633], grad_fn=<SelectBackward0>) 

 Target: tensor([0.8158, 0.6458, 0.0498, 0.0050, 0.0050]) 
Predicted: tensor([ 0.1998,  0.2098,  0.2721,  0.0799, -0.0226],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.1972, 0.2904, 0.8022, 0.0273, 0.0273]) 
Predicted: tensor([ 0.2215,  0.2379,  0.2979,  0.0824, -0.0251],
       grad_fn=<SelectBackward0>) 

Epoch 2414/4999 | Train: 0.002085 | Test: 0.004265 
Epoch    1/4999 | Train: 0.054000 | Test: 0.045797 
Epoch 2415/4999 | Train: 0.002099 | Test: 0.004257 
Epoch    2/4999 | Train: 0.041361 | Test: 0.040051 
Epoch 2416/4999 | Train: 0.002074 | Test: 0.004337 
Epoch    3/4999 | Train: 0.037566 | Test: 0.037103 
Epoch 2417/4999 | Train: 0.002082 | Test: 0.004360 
Epoch    4/4999 | Train: 0.035271 | Test: 0.034994 
Epoch 2418/4999 | Train: 0.002074 | Test: 0.004305 
Epoch    5/4999 | Train: 0.033534 | Test: 0.033405 
Epoch 2419/4999 | Train: 0.002077 | Test: 0.004676 
Epoch    6/4999 | Train: 0.032255 | Test: 0.032214 
Epoch 2420/4999 | Train: 0.002045 | Test: 0.004270 
Epoch    7/4999 | Train: 0.031202 | Test: 0.031303 
Epoch 2421/4999 | Train: 0.002087 | Test: 0.004188 
Epoch    8/4999 | Train: 0.030473 | Test: 0.030595 
Epoch 2422/4999 | Train: 0.002079 | Test: 0.004644 
Epoch    9/4999 | Train: 0.029871 | Test: 0.030022 
Epoch 2423/4999 | Train: 0.002079 | Test: 0.004224 
Epoch   10/4999 | Train: 0.029375 | Test: 0.029551 
Epoch 2424/4999 | Train: 0.002124 | Test: 0.004812 
Epoch   11/4999 | Train: 0.029000 | Test: 0.029154 
Epoch 2425/4999 | Train: 0.002084 | Test: 0.004233 
Epoch   12/4999 | Train: 0.028674 | Test: 0.028802 
Epoch 2426/4999 | Train: 0.002117 | Test: 0.004180 
Epoch   13/4999 | Train: 0.028257 | Test: 0.028482 
Epoch 2427/4999 | Train: 0.002058 | Test: 0.004287 
Epoch   14/4999 | Train: 0.027997 | Test: 0.028192 
Epoch 2428/4999 | Train: 0.002071 | Test: 0.004198 
Epoch   15/4999 | Train: 0.027680 | Test: 0.027925 
Epoch 2429/4999 | Train: 0.002059 | Test: 0.004222 
Epoch   16/4999 | Train: 0.027485 | Test: 0.027671 
Epoch 2430/4999 | Train: 0.002097 | Test: 0.004453 
Epoch   17/4999 | Train: 0.027182 | Test: 0.027429 
Epoch 2431/4999 | Train: 0.002072 | Test: 0.004198 
Epoch   18/4999 | Train: 0.026941 | Test: 0.027203 
Epoch 2432/4999 | Train: 0.002076 | Test: 0.004418 
Epoch   19/4999 | Train: 0.026736 | Test: 0.026980 
Epoch 2433/4999 | Train: 0.002113 | Test: 0.004160 
