Samples: 10000, Batch size: 32, Epochs: 500, Noise: 10 %
Learning rate: 0.1, Momentum: 0.0001, Weight decay: 1e-05 %
 

Eeg Data: data/new/multiple_dipoles_eeg_10000_1.npy
Target Data: data/new/multiple_dipoles_locations_10000_1.npy
--------------------------------------------------------------
Epoch  137/ 499 | Train: 0.003560 | Test: 0.003836 
Epoch    0/ 499 | Train: 0.051937 | Test: 0.031684 

 Target: tensor([0.2011, 0.1608, 0.5095, 1.0000]) 
Predicted: tensor([0.2365, 0.3039, 0.5011, 0.8175], grad_fn=<SelectBackward0>) 

 Target: tensor([0.4375, 0.1434, 0.2800, 0.1250]) 
Predicted: tensor([0.4882, 0.4578, 0.4713, 0.1078], grad_fn=<SelectBackward0>) 

 Target: tensor([0.3282, 0.5396, 0.3016, 0.3750]) 
Predicted: tensor([0.4642, 0.4916, 0.3545, 0.4975], grad_fn=<SelectBackward0>) 

Epoch  138/ 499 | Train: 0.003556 | Test: 0.003931 
Epoch    1/ 499 | Train: 0.023764 | Test: 0.016045 
Epoch  139/ 499 | Train: 0.003553 | Test: 0.003837 
Epoch    2/ 499 | Train: 0.015334 | Test: 0.012463 
Epoch  140/ 499 | Train: 0.003556 | Test: 0.003835 
Epoch    3/ 499 | Train: 0.013351 | Test: 0.011208 
Epoch  141/ 499 | Train: 0.003549 | Test: 0.003824 
Epoch    4/ 499 | Train: 0.012190 | Test: 0.010208 
Epoch  142/ 499 | Train: 0.003541 | Test: 0.003839 
Epoch    5/ 499 | Train: 0.011152 | Test: 0.009376 
Epoch  143/ 499 | Train: 0.003545 | Test: 0.003841 
Epoch    6/ 499 | Train: 0.010311 | Test: 0.008716 
Epoch  144/ 499 | Train: 0.003538 | Test: 0.003823 
Epoch    7/ 499 | Train: 0.009661 | Test: 0.008108 
Epoch  145/ 499 | Train: 0.003536 | Test: 0.003857 
Epoch    8/ 499 | Train: 0.009158 | Test: 0.007730 
Epoch  146/ 499 | Train: 0.003526 | Test: 0.003843 
Epoch    9/ 499 | Train: 0.008760 | Test: 0.007405 
Epoch  147/ 499 | Train: 0.003524 | Test: 0.003884 
Epoch   10/ 499 | Train: 0.008448 | Test: 0.007579 
Epoch  148/ 499 | Train: 0.003525 | Test: 0.003838 
Epoch   11/ 499 | Train: 0.008177 | Test: 0.007050 
Epoch  149/ 499 | Train: 0.003524 | Test: 0.003849 
Epoch   12/ 499 | Train: 0.007963 | Test: 0.007070 
Epoch  150/ 499 | Train: 0.003510 | Test: 0.003831 
Epoch   13/ 499 | Train: 0.007732 | Test: 0.006615 
Epoch  151/ 499 | Train: 0.003513 | Test: 0.003831 
Epoch   14/ 499 | Train: 0.007538 | Test: 0.006396 
Epoch  152/ 499 | Train: 0.003512 | Test: 0.003895 
Epoch   15/ 499 | Train: 0.007356 | Test: 0.006368 
Epoch  153/ 499 | Train: 0.003508 | Test: 0.003836 
